Haptic Middle ,,,Haptic Thumb,,,Haptic Pointer,,,Object Placed,
rosbagTimestamp,data,,rosbagTimestamp,data,,rosbagTimestamp,data,,rosbagTimestamp,data
1.58250319113866E+018,1048,,1.58250319113473E+018,-43,,1.58250319113684E+018,805,,1.58250322523618E+018,0
1.58250319116236E+018,1062,,1.5825031911583E+018,-42,,1.58250319116058E+018,807,,1.58250322640716E+018,0
1.58250319118368E+018,1034,,1.58250319118009E+018,-46,,1.58250319118201E+018,807,,1.58250322757991E+018,0
1.58250319120603E+018,1044,,1.58250319120267E+018,-36,,1.58250319120423E+018,807,,1.5825032287501E+018,0
1.58250319123107E+018,1051,,1.58250319122666E+018,-39,,1.58250319122922E+018,797,,1.58250322992625E+018,0
1.58250319125321E+018,1056,,1.58250319124909E+018,-40,,1.58250319125103E+018,816,,1.58250323110375E+018,0
1.58250319127669E+018,1045,,1.58250319127251E+018,-40,,1.58250319127469E+018,808,,1.58250323228097E+018,0
1.58250319129763E+018,1052,,1.58250319129415E+018,-40,,1.58250319129599E+018,808,,1.58250323345175E+018,0
1.58250319132066E+018,1032,,1.58250319131675E+018,-39,,1.58250319131864E+018,798,,1.58250323462273E+018,0
1.58250319134396E+018,1042,,1.58250319134039E+018,-43,,1.58250319134227E+018,808,,1.58250323579716E+018,0
1.58250319136725E+018,1025,,1.5825031913634E+018,-41,,1.58250319136511E+018,808,,1.58250323697143E+018,0
1.58250319138962E+018,1039,,1.58250319138561E+018,-41,,1.58250319138758E+018,811,,1.58250323814475E+018,0
1.58250319141148E+018,1038,,1.58250319140763E+018,-41,,1.58250319140973E+018,803,,1.58250323932036E+018,0
1.58250319143681E+018,1041,,1.58250319143158E+018,-34,,1.58250319143406E+018,807,,1.58250324049142E+018,0
1.58250319145894E+018,1046,,1.58250319145477E+018,-42,,1.5825031914569E+018,806,,1.58250324166309E+018,0
1.58250319148174E+018,1044,,1.58250319147703E+018,-42,,1.58250319147885E+018,810,,1.58250324283143E+018,0
1.58250319150327E+018,1036,,1.58250319149961E+018,-40,,1.58250319150142E+018,803,,1.58250324400239E+018,0
1.5825031915258E+018,1023,,1.58250319152211E+018,-40,,1.58250319152427E+018,811,,1.58250324517312E+018,0
1.58250319154954E+018,1033,,1.58250319154515E+018,-44,,1.58250319154735E+018,805,,1.58250324634822E+018,0
1.58250319157198E+018,1053,,1.58250319156765E+018,-36,,1.58250319156986E+018,816,,1.58250324752054E+018,0
1.58250319159339E+018,1047,,1.58250319158962E+018,-40,,1.58250319159147E+018,799,,1.58250324869693E+018,0
1.58250319161618E+018,1048,,1.58250319161285E+018,-43,,1.58250319161443E+018,803,,1.58250324987077E+018,0
1.5825031916404E+018,1024,,1.58250319163678E+018,-44,,1.58250319163861E+018,802,,1.58250325067001E+018,100
1.58250319166225E+018,1032,,1.58250319165857E+018,-41,,1.58250319166044E+018,805,,1.58250325104553E+018,0
1.58250319168485E+018,1049,,1.58250319168115E+018,-41,,1.58250319168291E+018,809,,1.58250325221913E+018,0
1.5825031917079E+018,1034,,1.58250319170439E+018,-45,,1.5825031917062E+018,809,,1.58250325338891E+018,0
1.58250319173148E+018,1038,,1.58250319172742E+018,-38,,1.58250319172955E+018,806,,1.5825032545607E+018,0
1.58250319175384E+018,1049,,1.58250319174982E+018,-37,,1.582503191752E+018,813,,1.58250325499998E+018,100
1.58250319177656E+018,1045,,1.58250319177291E+018,-30,,1.5825031917748E+018,807,,1.58250325573102E+018,0
1.58250319179887E+018,1042,,1.58250319179523E+018,-41,,1.58250319179711E+018,807,,1.58250325690471E+018,0
1.58250319182701E+018,1055,,1.58250319181751E+018,-37,,1.58250319181968E+018,814,,1.5825032580761E+018,0
1.58250319184469E+018,1048,,1.58250319184099E+018,-42,,1.58250319184275E+018,812,,1.58250325924887E+018,0
1.58250319186954E+018,1036,,1.58250319186499E+018,-40,,1.58250319186731E+018,821,,1.58250326041847E+018,0
1.58250319189035E+018,1032,,1.58250319188653E+018,-41,,1.5825031918886E+018,813,,1.58250326158999E+018,0
1.58250319191391E+018,1047,,1.58250319190986E+018,-45,,1.58250319191166E+018,805,,1.58250326192615E+018,100
1.58250319193675E+018,1050,,1.58250319193232E+018,-39,,1.58250319193463E+018,801,,1.58250326276066E+018,0
1.5825031919587E+018,1040,,1.58250319195494E+018,-35,,1.58250319195661E+018,805,,1.58250326393055E+018,0
1.58250319198213E+018,1025,,1.58250319197784E+018,-40,,1.58250319197995E+018,809,,1.5825032648573E+018,100
1.58250319200385E+018,1055,,1.58250319200025E+018,-45,,1.58250319200202E+018,806,,1.58250326510178E+018,0
1.58250319202634E+018,1045,,1.5825031920225E+018,-44,,1.5825031920245E+018,805,,1.58250326627262E+018,0
1.58250319204962E+018,1047,,1.58250319204594E+018,-40,,1.58250319204766E+018,803,,1.58250326744507E+018,0
1.5825031920729E+018,1035,,1.58250319206899E+018,-40,,1.58250319207086E+018,809,,1.58250326861499E+018,0
1.58250319209519E+018,1034,,1.58250319209175E+018,-43,,1.58250319209339E+018,809,,1.58250326978694E+018,0
1.58250319211835E+018,1043,,1.58250319211386E+018,-37,,1.5825031921157E+018,809,,1.58250327085791E+018,100
1.58250319214083E+018,1055,,1.5825031921366E+018,-37,,1.58250319213892E+018,813,,1.58250327095745E+018,0
1.58250319216434E+018,1060,,1.5825031921602E+018,-36,,1.58250319216222E+018,807,,1.58250327212795E+018,0
